employee_id,skill_id,skill_name,proficiency,years_experience,last_used_date
EMP1009,SKL028,Critical Thinking,Beginner,15,2024-10-10
EMP1009,SKL017,Agile,Advanced,0,2024-09-27
EMP1009,SKL027,Problem Solving,Expert,14,2025-08-30
EMP1009,SKL014,Git,Advanced,15,2024-11-29
EMP1009,SKL002,Java,Beginner,10,2025-06-04
EMP1010,SKL019,Product Strategy,Intermediate,6,2025-02-01
EMP1010,SKL016,Project Management,Expert,9,2025-02-14
EMP1010,SKL025,Communication,Intermediate,10,2025-05-30
EMP1011,SKL004,SQL,Expert,4,2025-01-13
EMP1011,SKL014,Git,Intermediate,8,2024-06-22
EMP1011,SKL011,Machine Learning,Intermediate,9,2023-12-08
EMP1011,SKL031,Adaptability,Intermediate,9,2024-11-22
EMP1011,SKL017,Agile,Intermediate,8,2024-09-15
EMP1011,SKL009,AWS,Intermediate,2,2024-11-21
EMP1011,SKL029,Creativity,Advanced,9,2024-12-12
EMP1011,SKL007,Docker,Advanced,3,2025-02-11
EMP1011,SKL003,JavaScript,Beginner,5,2025-05-25
EMP1011,SKL026,Team Collaboration,Intermediate,3,2025-02-26
EMP1011,SKL019,Product Strategy,Intermediate,6,2025-11-05
EMP1011,SKL025,Communication,Beginner,2,2025-04-20
EMP1012,SKL018,Scrum,Expert,5,2025-10-12
EMP1012,SKL020,Business Analysis,Expert,9,2025-08-05
EMP1012,SKL023,Market Research,Expert,4,2025-09-13
EMP1012,SKL001,Python,Beginner,0,2024-11-22
EMP1012,SKL024,Leadership,Beginner,9,2024-05-08
EMP1013,SKL029,Creativity,Expert,3,2025-05-17
EMP1013,SKL028,Critical Thinking,Expert,2,2023-12-27
EMP1013,SKL005,React,Advanced,3,2024-12-24
EMP1013,SKL021,Stakeholder Management,Advanced,0,2023-11-24
EMP1013,SKL018,Scrum,Expert,0,2024-10-02
EMP1013,SKL007,Docker,Intermediate,2,2025-01-30
EMP1013,SKL022,Financial Modeling,Beginner,4,2024-07-12
EMP1013,SKL024,Leadership,Expert,4,2025-01-12
EMP1013,SKL008,Kubernetes,Expert,2,2023-12-29
EMP1014,SKL031,Adaptability,Advanced,3,2024-06-05
EMP1014,SKL007,Docker,Intermediate,2,2025-10-03
EMP1014,SKL022,Financial Modeling,Expert,2,2025-03-27
EMP1014,SKL030,Time Management,Beginner,4,2024-09-29
EMP1014,SKL002,Java,Beginner,1,2025-09-30
EMP1014,SKL026,Team Collaboration,Expert,4,2024-11-11
EMP1015,SKL027,Problem Solving,Advanced,0,2024-02-08
EMP1015,SKL019,Product Strategy,Advanced,5,2024-11-28
EMP1015,SKL007,Docker,Beginner,13,2025-03-07
EMP1015,SKL024,Leadership,Advanced,11,2025-11-08
EMP1016,SKL021,Stakeholder Management,Beginner,1,2025-03-25
EMP1016,SKL024,Leadership,Beginner,4,2024-08-05
EMP1016,SKL005,React,Advanced,4,2024-10-23
EMP1016,SKL027,Problem Solving,Beginner,4,2025-05-04
EMP1017,SKL002,Java,Beginner,6,2024-10-13
EMP1017,SKL026,Team Collaboration,Expert,13,2023-11-26
EMP1017,SKL023,Market Research,Expert,4,2024-03-14
EMP1017,SKL008,Kubernetes,Advanced,8,2024-06-20
EMP1017,SKL012,Deep Learning,Intermediate,8,2025-05-27
EMP1017,SKL017,Agile,Advanced,9,2024-04-07
EMP1018,SKL014,Git,Beginner,10,2024-11-08
EMP1018,SKL028,Critical Thinking,Expert,1,2024-08-03
EMP1018,SKL005,React,Intermediate,4,2024-10-15
EMP1018,SKL022,Financial Modeling,Advanced,3,2024-05-08
EMP1019,SKL013,Data Analysis,Expert,14,2024-12-08
EMP1019,SKL016,Project Management,Intermediate,14,2024-04-28
EMP1019,SKL004,SQL,Expert,15,2025-02-08
EMP1019,SKL010,Azure,Intermediate,12,2025-10-16
EMP1019,SKL031,Adaptability,Expert,14,2025-04-25
EMP1019,SKL028,Critical Thinking,Advanced,14,2024-07-30
EMP1019,SKL023,Market Research,Advanced,7,2025-10-25
EMP1019,SKL026,Team Collaboration,Intermediate,1,2025-02-19
EMP1019,SKL002,Java,Advanced,9,2025-09-02
EMP1019,SKL006,Node.js,Advanced,6,2025-08-25
EMP1019,SKL015,CI/CD,Beginner,7,2025-05-18
EMP1020,SKL022,Financial Modeling,Beginner,4,2025-04-03
EMP1020,SKL005,React,Intermediate,0,2024-11-07
EMP1020,SKL018,Scrum,Intermediate,3,2024-02-19
EMP1020,SKL003,JavaScript,Beginner,3,2025-09-25
EMP1020,SKL023,Market Research,Advanced,1,2024-06-24
EMP1020,SKL025,Communication,Intermediate,3,2025-05-24
EMP1020,SKL012,Deep Learning,Advanced,1,2025-05-15
EMP1020,SKL016,Project Management,Beginner,1,2024-09-08
EMP1020,SKL026,Team Collaboration,Intermediate,4,2024-09-28
EMP1021,SKL017,Agile,Beginner,13,2025-08-18
EMP1021,SKL031,Adaptability,Intermediate,10,2025-04-15
EMP1021,SKL026,Team Collaboration,Intermediate,6,2025-03-30
EMP1021,SKL019,Product Strategy,Intermediate,9,2025-06-02
EMP1021,SKL001,Python,Expert,5,2024-08-15
EMP1021,SKL014,Git,Intermediate,6,2025-07-20
EMP1021,SKL002,Java,Advanced,15,2024-11-10
EMP1021,SKL027,Problem Solving,Intermediate,9,2025-07-23
EMP1021,SKL025,Communication,Advanced,8,2025-08-26
EMP1022,SKL014,Git,Intermediate,3,2024-03-14
EMP1022,SKL012,Deep Learning,Beginner,4,2025-03-06
EMP1022,SKL029,Creativity,Expert,1,2024-04-18
EMP1022,SKL011,Machine Learning,Intermediate,9,2024-06-16
EMP1022,SKL017,Agile,Intermediate,11,2025-04-29
EMP1022,SKL010,Azure,Beginner,6,2025-06-13
EMP1022,SKL030,Time Management,Advanced,8,2024-01-15
EMP1022,SKL008,Kubernetes,Expert,10,2025-04-11
EMP1022,SKL023,Market Research,Beginner,7,2024-11-19
EMP1022,SKL018,Scrum,Advanced,5,2024-02-18
EMP1022,SKL016,Project Management,Intermediate,11,2024-03-23
EMP1023,SKL008,Kubernetes,Intermediate,0,2024-04-12
EMP1023,SKL006,Node.js,Expert,0,2024-03-10
EMP1023,SKL016,Project Management,Advanced,0,2025-02-22
EMP1023,SKL005,React,Advanced,0,2024-11-26
EMP1023,SKL015,CI/CD,Beginner,0,2024-01-27
EMP1023,SKL002,Java,Intermediate,0,2025-07-18
EMP1023,SKL003,JavaScript,Intermediate,0,2024-09-28
EMP1023,SKL007,Docker,Beginner,0,2024-11-27
EMP1023,SKL009,AWS,Beginner,0,2024-07-02
EMP1023,SKL017,Agile,Expert,0,2024-05-10
EMP1023,SKL031,Adaptability,Advanced,0,2024-04-20
EMP1023,SKL028,Critical Thinking,Advanced,0,2025-01-15
EMP1024,SKL016,Project Management,Intermediate,5,2023-12-16
EMP1024,SKL023,Market Research,Beginner,3,2023-11-24
EMP1024,SKL013,Data Analysis,Advanced,10,2024-08-14
EMP1024,SKL020,Business Analysis,Beginner,8,2025-09-24
EMP1024,SKL001,Python,Beginner,3,2024-05-30
EMP1024,SKL026,Team Collaboration,Advanced,10,2024-08-13
EMP1024,SKL011,Machine Learning,Advanced,8,2025-04-18
EMP1024,SKL002,Java,Advanced,13,2024-03-12
EMP1024,SKL031,Adaptability,Beginner,10,2024-03-24
EMP1025,SKL008,Kubernetes,Expert,3,2025-08-14
EMP1025,SKL021,Stakeholder Management,Intermediate,2,2025-09-07
EMP1025,SKL005,React,Beginner,5,2025-10-04
EMP1025,SKL026,Team Collaboration,Intermediate,2,2024-12-05
EMP1025,SKL013,Data Analysis,Advanced,1,2023-12-04
EMP1025,SKL020,Business Analysis,Beginner,3,2025-07-28
EMP1025,SKL002,Java,Beginner,0,2023-12-29
EMP1025,SKL023,Market Research,Beginner,2,2024-07-29
EMP1025,SKL019,Product Strategy,Intermediate,5,2024-10-09
EMP1025,SKL006,Node.js,Intermediate,2,2024-02-06
EMP1025,SKL003,JavaScript,Intermediate,2,2025-03-03
EMP1025,SKL025,Communication,Intermediate,0,2024-05-04
EMP1026,SKL003,JavaScript,Beginner,0,2024-02-11
EMP1026,SKL028,Critical Thinking,Beginner,0,2025-01-19
EMP1026,SKL027,Problem Solving,Advanced,0,2024-05-02
EMP1026,SKL012,Deep Learning,Intermediate,0,2024-11-21
EMP1026,SKL020,Business Analysis,Intermediate,0,2024-05-28
EMP1026,SKL025,Communication,Advanced,0,2024-07-31
EMP1027,SKL030,Time Management,Expert,3,2025-07-11
EMP1027,SKL013,Data Analysis,Intermediate,2,2024-08-11
EMP1027,SKL021,Stakeholder Management,Advanced,8,2025-06-29
EMP1027,SKL007,Docker,Intermediate,3,2023-12-16
EMP1027,SKL020,Business Analysis,Beginner,1,2025-06-30
EMP1027,SKL004,SQL,Beginner,0,2025-09-21
EMP1027,SKL026,Team Collaboration,Expert,6,2025-01-15
EMP1028,SKL018,Scrum,Expert,3,2024-06-04
EMP1028,SKL026,Team Collaboration,Intermediate,5,2025-10-06
EMP1028,SKL031,Adaptability,Advanced,14,2024-03-06
EMP1028,SKL027,Problem Solving,Beginner,12,2025-09-02
EMP1028,SKL025,Communication,Advanced,13,2025-04-29
EMP1028,SKL008,Kubernetes,Advanced,8,2025-09-18
EMP1029,SKL012,Deep Learning,Advanced,12,2024-12-14
EMP1029,SKL023,Market Research,Expert,15,2025-02-21
EMP1029,SKL018,Scrum,Advanced,1,2025-04-13
EMP1029,SKL025,Communication,Intermediate,11,2024-01-29
EMP1029,SKL009,AWS,Expert,10,2025-05-11
EMP1029,SKL015,CI/CD,Intermediate,9,2023-12-19
EMP1029,SKL029,Creativity,Beginner,8,2025-10-29
EMP1029,SKL002,Java,Beginner,6,2024-10-15
EMP1030,SKL010,Azure,Beginner,14,2025-07-22
EMP1030,SKL006,Node.js,Expert,6,2024-10-30
EMP1030,SKL004,SQL,Intermediate,5,2025-08-24
EMP1030,SKL021,Stakeholder Management,Intermediate,4,2025-06-19
EMP1030,SKL023,Market Research,Advanced,3,2024-02-04
EMP1030,SKL024,Leadership,Advanced,3,2024-01-31
EMP1030,SKL025,Communication,Advanced,9,2025-07-09
EMP1030,SKL012,Deep Learning,Expert,6,2025-02-26
EMP1030,SKL031,Adaptability,Beginner,0,2025-02-25
EMP1030,SKL005,React,Advanced,9,2025-07-09
EMP1031,SKL015,CI/CD,Intermediate,7,2025-09-06
EMP1031,SKL006,Node.js,Advanced,1,2024-01-28
EMP1031,SKL002,Java,Beginner,2,2025-08-10
EMP1031,SKL009,AWS,Expert,4,2025-01-19
EMP1031,SKL007,Docker,Intermediate,14,2023-12-12
EMP1031,SKL028,Critical Thinking,Advanced,11,2024-12-08
EMP1032,SKL008,Kubernetes,Advanced,11,2024-01-30
EMP1032,SKL012,Deep Learning,Advanced,0,2024-03-18
EMP1032,SKL015,CI/CD,Expert,12,2025-03-13
EMP1033,SKL004,SQL,Intermediate,0,2024-02-09
EMP1033,SKL015,CI/CD,Advanced,0,2025-09-16
EMP1033,SKL002,Java,Advanced,2,2024-04-17
EMP1033,SKL010,Azure,Intermediate,1,2025-10-17
EMP1033,SKL009,AWS,Beginner,2,2024-08-16
EMP1033,SKL011,Machine Learning,Advanced,0,2024-03-10
EMP1033,SKL008,Kubernetes,Expert,0,2025-05-28
EMP1033,SKL020,Business Analysis,Beginner,1,2024-06-23
EMP1034,SKL028,Critical Thinking,Expert,6,2025-05-13
EMP1034,SKL014,Git,Intermediate,15,2024-10-17
EMP1034,SKL016,Project Management,Intermediate,0,2025-06-23
EMP1035,SKL007,Docker,Expert,0,2024-12-06
EMP1035,SKL004,SQL,Beginner,1,2024-12-01
EMP1035,SKL019,Product Strategy,Advanced,4,2025-05-31
EMP1036,SKL028,Critical Thinking,Intermediate,0,2025-09-16
EMP1036,SKL018,Scrum,Expert,0,2024-01-26
EMP1036,SKL031,Adaptability,Expert,0,2024-03-08
EMP1036,SKL026,Team Collaboration,Expert,0,2025-03-26
EMP1036,SKL003,JavaScript,Expert,0,2024-08-18
EMP1037,SKL021,Stakeholder Management,Advanced,11,2024-07-26
EMP1037,SKL023,Market Research,Beginner,10,2025-08-07
EMP1037,SKL020,Business Analysis,Expert,10,2024-02-25
EMP1038,SKL015,CI/CD,Beginner,4,2024-02-13
EMP1038,SKL020,Business Analysis,Advanced,7,2025-08-30
EMP1038,SKL014,Git,Advanced,1,2024-04-14
EMP1038,SKL004,SQL,Intermediate,4,2024-10-16
EMP1038,SKL011,Machine Learning,Advanced,0,2024-09-27
EMP1038,SKL003,JavaScript,Advanced,1,2025-06-29
EMP1039,SKL010,Azure,Expert,8,2025-06-29
EMP1039,SKL025,Communication,Beginner,1,2023-11-15
EMP1039,SKL004,SQL,Intermediate,12,2024-05-18
EMP1039,SKL002,Java,Advanced,10,2025-08-19
EMP1039,SKL020,Business Analysis,Expert,12,2025-07-30
EMP1039,SKL018,Scrum,Beginner,7,2024-11-11
EMP1039,SKL024,Leadership,Intermediate,13,2024-08-01
EMP1039,SKL003,JavaScript,Advanced,4,2024-06-19
EMP1039,SKL013,Data Analysis,Intermediate,2,2024-12-06
EMP1039,SKL028,Critical Thinking,Advanced,6,2024-03-22
EMP1039,SKL017,Agile,Intermediate,1,2024-01-15
EMP1040,SKL014,Git,Beginner,10,2024-06-03
EMP1040,SKL012,Deep Learning,Intermediate,6,2024-08-25
EMP1040,SKL003,JavaScript,Advanced,7,2025-05-18
EMP1040,SKL029,Creativity,Advanced,4,2025-06-18
EMP1040,SKL031,Adaptability,Beginner,0,2024-09-27
EMP1040,SKL007,Docker,Intermediate,8,2024-08-16
EMP1040,SKL020,Business Analysis,Intermediate,8,2025-03-12
EMP1040,SKL018,Scrum,Advanced,15,2025-04-09
EMP1040,SKL001,Python,Beginner,1,2024-05-18
EMP1041,SKL025,Communication,Advanced,10,2024-03-06
EMP1041,SKL009,AWS,Beginner,11,2025-06-17
EMP1041,SKL006,Node.js,Intermediate,7,2025-06-17
EMP1041,SKL002,Java,Beginner,12,2024-12-25
EMP1041,SKL017,Agile,Intermediate,11,2024-10-02
EMP1041,SKL031,Adaptability,Beginner,14,2025-07-13
EMP1041,SKL019,Product Strategy,Advanced,2,2024-05-05
EMP1041,SKL022,Financial Modeling,Expert,10,2024-02-25
EMP1041,SKL020,Business Analysis,Advanced,0,2025-07-24
EMP1041,SKL024,Leadership,Beginner,10,2024-10-08
EMP1041,SKL012,Deep Learning,Advanced,12,2024-09-26
EMP1041,SKL003,JavaScript,Intermediate,15,2025-10-23
EMP1042,SKL017,Agile,Beginner,2,2024-09-22
EMP1042,SKL022,Financial Modeling,Intermediate,2,2025-10-07
EMP1042,SKL028,Critical Thinking,Beginner,1,2024-10-31
EMP1042,SKL016,Project Management,Expert,0,2025-09-02
EMP1042,SKL002,Java,Intermediate,1,2024-12-14
EMP1042,SKL011,Machine Learning,Expert,2,2025-07-19
EMP1043,SKL015,CI/CD,Intermediate,0,2025-04-22
EMP1043,SKL007,Docker,Expert,8,2024-08-16
EMP1043,SKL030,Time Management,Expert,8,2023-12-03
EMP1044,SKL025,Communication,Intermediate,5,2024-10-18
EMP1044,SKL004,SQL,Beginner,5,2024-03-02
EMP1044,SKL026,Team Collaboration,Beginner,12,2025-06-30
EMP1044,SKL005,React,Expert,4,2023-11-17
EMP1044,SKL027,Problem Solving,Intermediate,2,2025-05-20
EMP1044,SKL003,JavaScript,Advanced,9,2025-07-28
EMP1045,SKL019,Product Strategy,Expert,0,2024-12-15
EMP1045,SKL020,Business Analysis,Intermediate,0,2024-01-03
EMP1045,SKL009,AWS,Intermediate,0,2024-01-14
EMP1045,SKL018,Scrum,Advanced,0,2024-07-29
EMP1045,SKL026,Team Collaboration,Beginner,0,2024-07-11
EMP1046,SKL006,Node.js,Advanced,12,2024-09-16
EMP1046,SKL029,Creativity,Advanced,10,2025-07-01
EMP1046,SKL011,Machine Learning,Advanced,1,2024-03-16
EMP1046,SKL004,SQL,Beginner,1,2024-10-12
EMP1046,SKL019,Product Strategy,Advanced,6,2023-12-27
EMP1046,SKL020,Business Analysis,Intermediate,5,2024-09-10
EMP1046,SKL014,Git,Beginner,2,2025-06-21
EMP1046,SKL008,Kubernetes,Intermediate,11,2023-12-08
EMP1046,SKL023,Market Research,Advanced,10,2025-04-05
EMP1047,SKL026,Team Collaboration,Beginner,13,2025-10-26
EMP1047,SKL029,Creativity,Intermediate,8,2025-03-22
EMP1047,SKL023,Market Research,Advanced,14,2024-03-06
EMP1047,SKL024,Leadership,Expert,7,2025-10-11
EMP1047,SKL013,Data Analysis,Advanced,10,2025-01-29
EMP1047,SKL012,Deep Learning,Beginner,1,2023-12-24
EMP1047,SKL019,Product Strategy,Intermediate,15,2025-03-14
EMP1047,SKL007,Docker,Advanced,12,2025-05-17
EMP1047,SKL008,Kubernetes,Expert,8,2025-07-22
EMP1047,SKL002,Java,Advanced,10,2025-04-05
EMP1047,SKL011,Machine Learning,Advanced,9,2025-09-20
EMP1048,SKL014,Git,Advanced,9,2024-12-17
EMP1048,SKL013,Data Analysis,Beginner,7,2024-06-26
EMP1048,SKL005,React,Expert,2,2024-09-30
EMP1048,SKL028,Critical Thinking,Advanced,12,2024-09-17
EMP1048,SKL016,Project Management,Intermediate,2,2025-09-28
EMP1048,SKL026,Team Collaboration,Expert,14,2025-04-21
EMP1048,SKL015,CI/CD,Advanced,1,2025-05-07
EMP1048,SKL027,Problem Solving,Advanced,4,2025-01-13
EMP1048,SKL022,Financial Modeling,Expert,13,2025-09-18
EMP1048,SKL017,Agile,Expert,0,2024-07-03
EMP1048,SKL002,Java,Beginner,10,2025-05-23
EMP1048,SKL001,Python,Advanced,2,2025-06-08
EMP1049,SKL002,Java,Advanced,0,2024-07-10
EMP1049,SKL014,Git,Beginner,15,2025-10-16
EMP1049,SKL016,Project Management,Beginner,12,2024-08-03
EMP1049,SKL005,React,Intermediate,6,2023-11-16
EMP1049,SKL026,Team Collaboration,Beginner,10,2025-08-13
EMP1049,SKL017,Agile,Beginner,3,2024-06-14
EMP1050,SKL011,Machine Learning,Expert,1,2025-10-09
EMP1050,SKL025,Communication,Intermediate,0,2024-12-23
EMP1050,SKL002,Java,Beginner,0,2025-02-26
EMP1050,SKL009,AWS,Beginner,0,2025-10-24
EMP1050,SKL010,Azure,Expert,3,2024-03-03
EMP1050,SKL013,Data Analysis,Beginner,3,2025-05-06
EMP1050,SKL028,Critical Thinking,Intermediate,1,2024-09-18
EMP1050,SKL029,Creativity,Advanced,2,2024-10-21
EMP1051,SKL001,Python,Beginner,10,2025-03-24
EMP1051,SKL018,Scrum,Intermediate,2,2024-04-17
EMP1051,SKL023,Market Research,Beginner,13,2025-09-29
EMP1051,SKL020,Business Analysis,Advanced,10,2025-01-05
EMP1052,SKL028,Critical Thinking,Intermediate,2,2025-03-08
EMP1052,SKL030,Time Management,Expert,2,2025-07-14
EMP1052,SKL001,Python,Expert,6,2025-03-04
EMP1052,SKL031,Adaptability,Beginner,1,2025-03-30
EMP1052,SKL002,Java,Expert,8,2024-10-18
EMP1052,SKL014,Git,Intermediate,1,2025-05-04
EMP1052,SKL004,SQL,Intermediate,10,2024-08-04
EMP1052,SKL020,Business Analysis,Beginner,0,2025-09-29
EMP1052,SKL012,Deep Learning,Intermediate,7,2025-08-01
EMP1052,SKL024,Leadership,Beginner,6,2025-07-09
EMP1052,SKL018,Scrum,Expert,3,2025-03-27
EMP1052,SKL006,Node.js,Expert,3,2024-09-19
EMP1053,SKL015,CI/CD,Expert,6,2025-07-04
EMP1053,SKL016,Project Management,Intermediate,10,2024-04-11
EMP1053,SKL020,Business Analysis,Expert,11,2025-09-24
EMP1053,SKL001,Python,Intermediate,2,2024-07-01
EMP1054,SKL027,Problem Solving,Expert,14,2024-01-14
EMP1054,SKL019,Product Strategy,Expert,14,2023-12-08
EMP1054,SKL013,Data Analysis,Beginner,11,2024-12-31
EMP1054,SKL022,Financial Modeling,Beginner,2,2024-07-26
EMP1054,SKL008,Kubernetes,Intermediate,7,2024-09-07
EMP1054,SKL009,AWS,Expert,4,2025-05-26
EMP1054,SKL004,SQL,Beginner,5,2025-05-21
EMP1054,SKL011,Machine Learning,Expert,6,2025-06-06
EMP1054,SKL020,Business Analysis,Advanced,3,2025-09-23
EMP1054,SKL005,React,Expert,3,2024-02-15
EMP1054,SKL030,Time Management,Intermediate,14,2024-12-18
EMP1054,SKL026,Team Collaboration,Advanced,4,2025-01-03
EMP1055,SKL008,Kubernetes,Expert,15,2024-06-17
EMP1055,SKL025,Communication,Advanced,0,2024-04-24
EMP1055,SKL005,React,Advanced,14,2024-01-21
EMP1055,SKL014,Git,Intermediate,9,2024-12-11
EMP1055,SKL021,Stakeholder Management,Expert,3,2025-01-11
EMP1055,SKL004,SQL,Intermediate,5,2024-07-09
EMP1055,SKL019,Product Strategy,Beginner,15,2024-12-18
EMP1056,SKL022,Financial Modeling,Intermediate,10,2024-07-31
EMP1056,SKL016,Project Management,Intermediate,0,2025-06-20
EMP1056,SKL018,Scrum,Intermediate,5,2025-03-17
EMP1056,SKL031,Adaptability,Expert,2,2024-03-13
EMP1056,SKL013,Data Analysis,Intermediate,6,2023-11-28
EMP1056,SKL005,React,Beginner,11,2023-12-01
EMP1057,SKL030,Time Management,Advanced,9,2025-10-01
EMP1057,SKL014,Git,Expert,9,2025-07-20
EMP1057,SKL028,Critical Thinking,Beginner,9,2025-01-02
EMP1057,SKL001,Python,Beginner,2,2025-02-12
EMP1057,SKL008,Kubernetes,Intermediate,5,2024-05-28
EMP1058,SKL030,Time Management,Advanced,5,2024-05-15
EMP1058,SKL009,AWS,Advanced,14,2025-08-17
EMP1058,SKL017,Agile,Advanced,13,2025-07-03
EMP1059,SKL028,Critical Thinking,Intermediate,2,2024-07-03
EMP1059,SKL013,Data Analysis,Expert,1,2025-05-27
EMP1059,SKL002,Java,Beginner,1,2024-10-03
EMP1059,SKL022,Financial Modeling,Beginner,1,2024-12-06
EMP1059,SKL012,Deep Learning,Intermediate,1,2024-02-03
EMP1060,SKL031,Adaptability,Expert,1,2025-05-31
EMP1060,SKL029,Creativity,Expert,2,2023-12-26
EMP1060,SKL012,Deep Learning,Intermediate,2,2025-08-24
EMP1061,SKL020,Business Analysis,Expert,1,2024-08-25
EMP1061,SKL016,Project Management,Beginner,4,2024-05-29
EMP1061,SKL025,Communication,Advanced,4,2025-03-10
EMP1061,SKL014,Git,Beginner,4,2024-12-08
EMP1061,SKL028,Critical Thinking,Advanced,2,2024-08-11
EMP1061,SKL021,Stakeholder Management,Expert,3,2024-02-14
